Perioden;Plaats;Uitkeringsontvangers, totaal |Uitkeringsontvangers, totaal;Uitkeringsontvangers, totaal |Tot de AOW- leeftijd;Uitkeringsontvangers, totaal |Vanaf de AOW- leeftijd;Uitkeringsontvangers per soort uitkering|Werkloosheid;Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd)  tot AOW-leeftijd;Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) vanaf AOW-leeftijd;Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand tot de AOW-leeftijd;Uitkeringsontvangers per soort uitkering|Arbeidsongeschiktheid|Arbeidsongeschiktheid, totaal;Uitkeringsontvangers per soort uitkering|Arbeidsongeschiktheid|WAO-uitkering;Uitkeringsontvangers per soort uitkering|Arbeidsongeschiktheid|WIA-uitkering: WGA-regeling;Uitkeringsontvangers per soort uitkering|Arbeidsongeschiktheid|Wajong-uitkering;Uitkeringsontvangers per soort uitkering|AOW
2021 augustus*;Sittard-Geleen;31460;10640;20810;1060;3010;300;2650;6750;1790;1740;1720;20790
2021 september*;Sittard-Geleen;31460;10570;20890;1010;2990;310;2640;6750;1770;1740;1730;20870
2021 oktober*;Sittard-Geleen;31440;10530;20910;1000;2840;300;2630;6870;1760;1850;1730;20890
2021 november*;Sittard-Geleen;31460;10540;20920;950;2890;310;2630;6890;1740;1860;1740;20900
2021 december*;Sittard-Geleen;31390;10490;20900;940;2870;310;2600;6870;1720;1850;1740;20880
2022 januari*;Sittard-Geleen;31390;10550;20830;980;2870;300;2620;6890;1720;1870;1740;20810
2022 februari*;Sittard-Geleen;31310;10550;20760;900;2870;300;2610;6960;1720;1890;1760;20740
2022 maart*;Sittard-Geleen;31200;10560;20640;880;2870;300;2620;7000;1720;1920;1750;20620
2022 april*;Sittard-Geleen;31170;10490;20690;860;2810;300;2600;6990;1710;1920;1750;20670
2022 mei*;Sittard-Geleen;31110;10400;20710;760;2800;310;2590;7010;1700;1920;1760;20690
2022 juni*;Sittard-Geleen;31050;10310;20740;760;2780;310;2570;6960;1670;1900;1750;20720
2022 juli*;Sittard-Geleen;31080;10340;20740;780;2790;300;2570;6950;1660;1900;1760;20720
2022 augustus*;Sittard-Geleen;31090;10300;20790;790;2750;300;2530;6930;1640;1890;1750;20770
2022 september*;Sittard-Geleen;31060;10230;20830;740;2720;300;2510;6930;1630;1910;1740;20810
2019 oktober;Stein;8320;2040;6270;300;340;30;310;1420;480;380;250;6270
2019 november;Stein;8350;2060;6280;320;330;30;300;1430;480;380;250;6280
2019 december;Stein;8360;2060;6300;330;340;40;300;1420;480;380;250;6300
2020 januari;Stein;8360;2040;6320;320;330;30;290;1410;470;380;250;6320
2020 februari;Stein;8360;2040;6320;310;330;30;290;1430;470;380;250;6320
2020 maart;Stein;8920;2600;6320;330;900;40;300;1420;460;390;250;6320
2020 april*;Stein;8960;2660;6300;330;950;40;300;1430;460;390;250;6300
2020 mei*;Stein;8950;2630;6320;330;920;40;300;1440;460;400;250;6320
2020 juni*;Stein;8570;2230;6340;340;510;30;300;1420;450;390;250;6340
2020 juli*;Stein;8600;2240;6360;350;500;40;310;1420;450;390;240;6360
2020 augustus*;Stein;8610;2250;6360;360;500;40;310;1420;450;390;240;6360
2020 september*;Stein;8600;2230;6370;350;480;40;310;1430;440;390;240;6370
2020  oktober*;Stein;8540;2150;6390;330;430;30;300;1420;440;390;250;6380
2020 november*;Stein;8570;2150;6420;330;430;30;310;1410;440;380;250;6420
2020 december*;Stein;8590;2160;6430;350;430;30;310;1410;430;380;250;6430
2021 januari*;Stein;8660;2220;6440;360;470;30;320;1420;430;380;250;6440
2021 februari*;Stein;8670;2220;6440;350;480;30;320;1420;430;390;250;6440
2021 maart*;Stein;8630;2190;6440;340;450;30;320;1430;430;400;250;6440
2021 april*;Stein;8560;2110;6450;310;410;30;320;1420;420;390;250;6450
2021 mei*;Stein;8540;2080;6450;270;410;30;330;1420;420;390;250;6450
2021 juni*;Stein;8550;2070;6480;270;410;30;330;1400;410;380;250;6470
2021 juli*;Stein;8520;2050;6480;280;380;30;330;1410;410;380;250;6480
2021 augustus*;Stein;8530;2050;6490;280;380;30;330;1410;410;380;250;6490
2021 september*;Stein;8510;2020;6490;260;380;30;330;1400;410;380;250;6490
2021 oktober*;Stein;8510;2020;6500;250;350;30;320;1440;400;410;250;6500
2021 november*;Stein;8500;2010;6500;250;350;30;320;1430;400;410;250;6500
2021 december*;Stein;8500;2010;6490;250;350;30;320;1430;400;410;250;6490
2022 januari*;Stein;8470;2020;6450;240;340;30;320;1450;400;420;250;6450
2022 februari*;Stein;8460;2030;6430;240;350;30;320;1460;400;420;250;6430
2022 maart*;Stein;8450;2040;6410;240;340;30;320;1470;400;430;250;6410
2022 april*;Stein;8420;2020;6400;230;340;30;320;1470;400;430;250;6400
2022 mei*;Stein;8400;1990;6410;200;340;30;310;1470;390;430;250;6410
2022 juni*;Stein;8400;1990;6410;200;340;30;320;1460;390;430;250;6410
2022 juli*;Stein;8410;1990;6430;210;350;30;320;1450;390;420;250;6430
2022 augustus*;Stein;8410;1990;6420;200;350;30;330;1460;380;430;250;6420
2022 september*;Stein;8400;1980;6420;180;360;30;330;1460;380;430;250;6420
