"Gemeente","SES-WOA totaalscore 2019"
"Reusel-De Mierden","0,219"
"Rheden","-0,070"
"Rhenen","0,095"
"Ridderkerk","-0,001"
"Rijssen-Holten","0,125"
"Rijswijk","-0,003"
"Roerdalen","0,065"
"Roermond","-0,105"
"De Ronde Venen","0,210"
"Roosendaal","-0,022"
"Rotterdam","-0,269"
"Rozendaal","0,450"
"Rucphen","0,019"
"Schagen","0,107"
"Scherpenzeel","0,166"
"Schiedam","-0,145"
"Schiermonnikoog","0,028"
"Schouwen-Duiveland","0,076"
"Simpelveld","0,011"
"Sint Anthonis","0,217"
"Sint-Michielsgestel","0,226"
"Sittard-Geleen","-0,114"
"Sliedrecht","0,014"
"Sluis","0,029"
"Smallingerland","-0,066"
"Soest","0,129"
"Someren","0,133"
"Son en Breugel","0,242"
"Stadskanaal","-0,178"
"Staphorst","0,216"
"Stede Broec","0,044"
"Steenbergen","-0,008"
"Steenwijkerland","0,018"
"Stein","0,043"
"Stichtse Vecht","0,180"
"Súdwest-Fryslân","0,010"
"Terneuzen","-0,041"
"Terschelling","0,041"
"Texel","0,120"
"Teylingen","0,234"
"Tholen","0,033"
"Tiel","-0,065"
"Tilburg","-0,130"
"Tubbergen","0,215"
"Twenterand","0,019"
"Tynaarlo","0,219"
"Tytsjerksteradiel","0,068"
"Uden","0,057"
"Uitgeest","0,244"
"Uithoorn","0,133"
"Urk","0,169"
"Utrecht","-0,014"
"Utrechtse Heuvelrug","0,163"
"Vaals","-0,174"
"Valkenburg aan de Geul","0,018"
"Valkenswaard","0,054"
"Veendam","-0,142"
"Veenendaal","0,028"
"Veere","0,203"
"Veldhoven","0,169"
"Velsen","0,037"
"Venlo","-0,111"
"Venray","0,041"
"Vijfheerenlanden","0,080"
"Vlaardingen","-0,125"
"Vlieland","-0,025"
"Vlissingen","-0,154"
"Voerendaal","0,127"
"Voorschoten","0,232"
"Voorst","0,172"
"Vught","0,198"
"Waadhoeke","-0,011"
"Waalre","0,246"
"Waalwijk","0,012"
"Waddinxveen","0,118"
"Wageningen","-0,250"
"Wassenaar","0,161"
"Waterland","0,219"
"Weert","0,026"
"Weesp","0,092"
"West Betuwe","0,192"
"West Maas en Waal","0,131"
"Westerkwartier","0,102"
"Westerveld","0,123"
"Westervoort","-0,010"
"Westerwolde","-0,075"
"Westland","0,147"
"Weststellingwerf","0,006"
"Westvoorne","0,206"
"Wierden","0,194"
"Wijchen","0,101"
"Wijdemeren","0,207"
"Wijk bij Duurstede","0,199"
"Winterswijk","0,004"
"Woensdrecht","0,067"
"Woerden","0,202"
"De Wolden","0,174"
"Wormerland","0,104"
"Woudenberg","0,226"
"Zaanstad","-0,043"
"Zaltbommel","0,120"
"Zandvoort","0,002"
"Zeewolde","0,135"
"Zeist","0,059"
"Zevenaar","-0,008"
"Zoetermeer","0,041"
"Zoeterwoude","0,271"
"Zuidplas","0,185"
"Zundert","0,157"
"Zutphen","-0,072"
"Zwartewaterland","0,121"
"Zwijndrecht","-0,040"
"Zwolle","0,008"
"1)sociaaleconomische statusscore o.b.v. welvaart, opleidingsniveau en arbeidsmarktdeelname"
