Gemeentecode;Wijkcode;Regionaam;Gemiddeld persoonlijk inkomen per inwoner (x 1000 euro);40 procent huishoudens met laagste besteedbaar inkomen;20 procent huishoudens met hoogste besteedbaar inkomen
;WK019314;Wijk 14 Kamperpoort-Veerallee;28,5;56,3;19,1
;WK019320;Wijk 20 Poort van Zwolle;27,4;35,2;28,9
;WK019321;Wijk 21 Westenholte;24,1;30,8;20,5
;WK019322;Wijk 22 Stadshagen;26,6;22,5;28,1
;WK019330;Wijk 30 Holtenbroek;20,9;60,3;6,3
;WK019331;Wijk 31 Aa-landen;23,9;43,5;12,6
;WK019332;Wijk 32 Vechtlanden;39;16,5;50,5
;WK019340;Wijk 40 Berkum;28,8;31,4;26,8
;WK019341;Wijk 41 Marsweteringlanden;27,2;29,8;32,6
;WK019350;Wijk 50 Schelle;29,2;27,3;29,1
;WK019351;Wijk 51 Ittersum;25,6;34,4;18,9
;WK019352;Wijk 52 Soestweteringlanden;27,7;19,9;34,6
GM0197;Totaal;Aalten;23,8;34,7;17,4
;WK019701;Wijk 01 Buitengebied Aalten;24,6;25,7;30
;WK019702;Wijk 02 Bredevoort;24,7;33,6;17,5
;WK019703;Wijk 03 Aalten Kern;23,7;35,6;15,4
;WK019704;Wijk 04 Dinxperlo;23,4;37,4;15,1
GM0200;Totaal;Apeldoorn;26,7;38,1;19,7
;WK020001;Centrum;28,2;58,8;7,3
;WK020002;West;30,2;37,5;23,2
;WK020003;Zuidwest;27,7;31,6;22,4
;WK020004;Zuid;22,9;49,6;11,1
;WK020005;Zuidoost;23,9;36,3;14,4
;WK020006;Oost;29,1;24,7;29,5
;WK020007;Noordoost;23,7;38,3;17,1
;WK020008;Noord;30,3;37,9;22,6
;WK020010;Uddel en omgeving;24;30,6;33,1
;WK020011;Hoog Soeren en Radio Kootwijk;36,6;19,5;36,1
;WK020012;Hoenderloo en omgeving;30,2;36,7;26,5
;WK020013;Loenen en omgeving;29;35;25,2
;WK020014;Beekbergen en omgeving;29,8;41,7;24,2
;WK020015;Lieren en omgeving;27,3;21,6;34,8
;WK020016;Klarenbeek en omgeving;27,1;28,5;31,3
;WK020017;Wenum Wiesel Beemte;29,4;26;37,3
GM0202;Totaal;Arnhem;25,4;51,2;14,3
;WK020201;Centrum;28,1;68,2;6,6
;WK020202;Spijkerkwartier;26,7;71,5;7,4
;WK020203;Arnhemse Broek;20,3;67,2;6,2
;WK020204;Presikhaaf-West;17,9;66,9;5,3
;WK020205;Presikhaaf-Oost;21,4;61,7;5
;WK020206;St. Marten/Sonsbeek;30;48,3;16,4
;WK020207;Klarendal;22,9;64,1;6,4
;WK020208;Velperweg e.o.;32,6;36,1;27,7
;WK020209;Alteveer/Cranevelt;32,2;35,7;26,3
;WK020210;Geitenkamp;18,7;73,6;2,8
;WK020211;Monnikenhuizen;28,3;45,5;19,6
;WK020212;Burgemeesterswijk/Hoogkamp;39,3;32,2;36,5
;WK020213;Schaarsbergen;32,8;36,4;34
;WK020214;Heijenoord/Lombok;30,1;45,3;17,7
;WK020215;Klingelbeek e.o.;36;26,6;34,4
;WK020216;Malburgen-West;22,1;51,3;9,8
;WK020217;Malburgen-Oost (Noord);22,5;50,4;10,6
;WK020218;Malburgen-Oost (Zuid);16,6;66,5;4,4
;WK020219;Vredenburg/Kronenburg;23,1;59,1;8,4
;WK020220;Elden;26,9;35;24,5
;WK020221;Elderveld;22,7;46,7;11,7
;WK020222;De Laar;24;39,8;13,1
;WK020223;Rijkerswoerd;25,8;35,5;20,5
;WK020224;Schuytgraaf;28;21,3;33,3
GM0203;Totaal;Barneveld;24,6;29,8;25,9
;WK020354;Wijk 54 Barneveld;23,8;31,9;22,6
;WK020355;Wijk 55 Voorthuizen;26,1;29,3;26,6
;WK020356;Wijk 56 Kootwijkerbroek;23,5;24;37,4
;WK020357;Wijk 57 Garderen;27,3;26,1;31,7
;WK020358;Wijk 58 Terschuur;26,7;25,2;33,8
;WK020359;Wijk 59 Stroe;25,8;21,3;33,8
;WK020360;Wijk 60 Zwartebroek;26,8;22;34,7
;WK020361;Wijk 61 De Glind;24,7;32;29,9
;WK020362;Wijk 62 Kootwijk;35,2;21,8;43,7
;WK020363;Wijk 63 Achterveld;30,2;.;.
GM0209;Totaal;Beuningen;27,9;30,5;24,5
;WK020901;Beuningen;28,5;30,5;25
;WK020902;Ewijk;26,6;31,3;23,9
;WK020903;Weurt;25,7;30,9;19,2
;WK020904;Winssen;27,9;28,1;28,1
GM0213;Totaal;Brummen;26,5;33,1;21,1
;WK021301;Wijk 01 Empe;29,6;19,5;35,1
;WK021302;Wijk 02 Tonden;30,4;19,5;32,8
;WK021303;Wijk 03 Brummen;25,8;36,6;19,1
;WK021304;Wijk 04 Leuvenheim;27,6;23,5;25,5
;WK021305;Wijk 05 Hall;30,4;21,4;35,9
;WK021306;Wijk 06 Eerbeek;26,4;32,7;20,1
GM0214;Totaal;Buren;28,3;27,7;28,1
;WK021400;Wijk 00 Buren;30,6;26,8;30,3
;WK021401;Wijk 01 Beusichem;30,3;23;32,7
;WK021402;Wijk 02 Zoelen;29,5;23,1;32,5
;WK021403;Wijk 03 Lienden;26,5;27,5;26,7
;WK021404;Wijk 04 Ingen;27,2;31,2;25,1
;WK021405;Wijk 05 Maurik;27;32,5;23,4
;WK021406;Wijk 06 Ravenswaaij;30,7;22,7;41,5
GM0216;Totaal;Culemborg;27,5;33,5;22,9
;WK021600;Culemborg Oost;26,2;37,3;18,6
;WK021601;Culemborg West;29,3;27,3;29,8
GM0221;Totaal;Doesburg;24,7;42,7;15,1
;WK022101;Wijk 01;24,7;42,7;15,1
GM0222;Totaal;Doetinchem;25;38,9;17,5
;WK022201;Wijk 01 Doetinchem Centrum;28,3;50,6;14,1
;WK022202;Wijk 02;21,4;60,3;7,3
;WK022203;Wijk 03;24;39,3;14,6
;WK022204;Wijk 04;26,8;30,9;23,9
;WK022205;Wijk 05;28,4;46,4;13,3
;WK022206;Wijk 06;25,4;30,5;18,6
;WK022207;Wijk 07;26,7;27,3;23,5
;WK022208;Wijk 08;30,1;25,3;26,1
;WK022209;Wijk 09;22,6;43,4;16,6
;WK022211;Wijk 11 Buitengebied Doetinchem;23,9;36,6;16,4
;WK022231;Wijk 31 Wehl;25,7;32;22,9
GM0225;Totaal;Druten;26,4;32,5;22,9
;WK022500;Druten;26,2;32,9;21,1
;WK022501;Puiflijk;28;27,3;30,7
;WK022502;Afferden;25,5;32;27,9
;WK022503;Deest;24,9;39,5;17,4
;WK022504;Horssen;29,7;25;33
GM0226;Totaal;Duiven;26,8;31,6;23,5
;WK022601;Wijk 01 Bedrijventerrein;.;.;.
;WK022602;Wijk 02 Buitengebied;26,9;.;.
;WK022603;Wijk 03 Duiven-Noord;25,6;33,5;20,1
;WK022604;Wijk 04 Duiven-Zuid;28,1;31,6;25,8
;WK022605;Wijk 05 Groessen;28,6;21,8;33,9
;WK022606;Wijk 06 Loo;29;24;32,3
GM0228;Totaal;Ede;26;34,4;22
;WK022801;Ede-Oost;30;43,4;17,9
;WK022802;Ede-West;25,6;41;16,8
;WK022803;Ede-Veldhuizen;22,6;39,9;12,6
;WK022804;Kernhem;26,1;14,5;32,6
;WK022805;Veluwse Poort;33,2;19,8;35,4
;WK022810;Ede-Zuid;22,9;48;14,7
;WK022811;Maandereng;23,3;31,5;15,6
;WK022812;Rietkampen;26,7;21;25,1
;WK022813;Bedrijventerrein;22;44,3;20,6
;WK022820;Buitengebied Ede-Stad;28,2;26,6;40
;WK022830;Bennekom;29,6;29;27,4
;WK022840;Lunteren;26,7;27,8;31,3
;WK022850;Ederveen;23,7;26,1;33,2
;WK022860;De Klomp;26,5;40,3;23,9
;WK022870;Harskamp;23,9;24,9;34,3
;WK022880;Wekerom;23,9;30,5;25,9
;WK022890;Otterlo;27,3;27,1;32,4
GM0230;Totaal;Elburg;23,7;31,1;20,5
;WK023001;Wijk 01 Elburg;23,8;32,2;19,3
;WK023002;Wijk 02;23,7;30,7;17,9
;WK023003;Wijk 03 Doornspijk;23,3;28,6;28,7
GM0232;Totaal;Epe;25,9;34,6;20,7
;WK023200;Wijk 00 Epe;27,4;35,7;20,4
;WK023201;Wijk 01 Emst;25,7;25,5;28,5
;WK023202;Wijk 02 Vaassen;24,2;36,1;18,5
;WK023203;Wijk 03 Oene;24,6;26,6;27,5
GM0233;Totaal;Ermelo;27,2;33,6;23,3
;WK023300;Schil rondom het centrum;26,9;31,9;22,9
;WK023301;Centrum Ermelo;28,4;41;17,2
;WK023302;Tonsel en Veldzicht;27,7;40,6;23,4
;WK023303;Buitengebied west;27,1;35,8;27,9
;WK023304;Buitengebied midden;30,5;.;.
;WK023305;Buitengebied oost;28,1;29,1;38,4
GM0243;Totaal;Harderwijk;25,7;35;20,8
;WK024301;Binnenstad;31,8;47;15,6
;WK024302;Waterfront;33,8;8,9;43,3
;WK024303;Zeebuurt;23,1;42,3;13,8
;WK024304;Friesegracht;30,4;31,2;27
;WK024305;Stadsdennen;21,6;43,9;13,8
;WK024306;De Sypel;26,3;23,8;22,3
;WK024307;Stationsomgeving;25,9;62,4;12,8
;WK024308;Stadsweiden;24,6;41;15,7
;WK024309;Slingerbos;28,7;17,1;27,1
;WK024310;Tweelingstad;22,2;41,1;14,9
;WK024311;Frankrijk;26,9;26;27,5
;WK024312;Drielanden;27,6;21;30
;WK024313;Industrieterrein Lorentz;.;.;.
;WK024314;Buitengebied Harderwijk;28,3;49,7;14,9
;WK024315;Hierden;27,8;31,4;28,9
GM0244;Totaal;Hattem;27,2;30,2;23,6
;WK024400;Wijk 00 Hattem;26,9;31,1;22,4
;WK024401;Wijk 01 Polder Hattem en Molecaten;31,2;16,6;41,9
GM0246;Totaal;Heerde;25,7;29,4;22
;WK024600;Wijk 00 Heerde;26,3;29,4;22,3
;WK024601;Wijk 01 Wapenveld;24,4;29,2;21,3
GM0252;Totaal;Heumen;29,9;30;28
;WK025200;Wijk 00 Heumen;30,2;31;27,4
;WK025201;Wijk 01 Overasselt;28,8;25,8;30,4
GM0262;Totaal;Lochem;28,4;31,5;24,7
;WK026200;Wijk 00 Lochem kern;27;36;18,7
;WK026201;Wijk 01 Lochem buitengebied;31,3;28,1;36
;WK026202;Wijk 02 Laren;27;28,2;28,4
;WK026203;Wijk 03 Barchem;27,3;27;27,7
;WK026204;Wijk 04 Gorssel;30,5;29,3;27,4
;WK026205;Wijk 01 Almen-Harfsen;28,1;28,5;28,9
GM0263;Totaal;Maasdriel;27,1;31,8;26,4
;WK026300;Wijk 00 Kerkdriel;26,4;33,3;26
;WK026301;Wijk 01 Ammerzoden;27,1;31,8;26,1
;WK026302;Wijk 02 Hedel;27,8;28,5;27,2
;WK026303;Wijk 03 Heerewaarden;26;36,1;19,8
;WK026304;Wijk 04 Rossum;28,8;30,5;29,4
GM0267;Totaal;Nijkerk;26,4;29,6;25,4
;WK026701;Nijkerk-stad;25,1;32,3;21,9
;WK026702;Appel, Driedorp, Kruishaar, Prinsenkamp;30,3;25,9;40
;WK026703;Nijkerkerveen en Holkerveen;27,2;27,1;28,2
;WK026704;Arkemheen, Achterhoek, De Veenhuis;29,1;20;44,5
;WK026705;Hoevelaken;29;23,6;31
GM0268;Totaal;Nijmegen;25,7;55,7;13,8
;WK026801;Nijmegen-Centrum;26;71,7;5,4
;WK026802;Nijmegen-Oost;29,8;61,4;15,1
;WK026803;Nijmegen-Oud-West;24,3;59,2;10,2
;WK026804;Nijmegen-Nieuw-West;23,5;59,2;11,6
;WK026805;Nijmegen-Midden;27,4;53,9;17,8
;WK026806;Nijmegen-Zuid;23,7;59,4;10,6
;WK026807;Dukenburg;22,1;55,3;8,7
;WK026808;Lindenholt;23,7;38,5;14
;WK026809;Nijmegen-Noord;27,9;24,6;33,9
GM0269;Totaal;Oldebroek;23,5;32,2;21
;WK026900;Wijk 00 Oldebroek;23,3;32,2;21,6
;WK026901;Wijk 01 Wezep;23,9;33,8;19,4
;WK026902;Wijk 02 Oosterwolde;22,2;22;29,8
GM0273;Totaal;Putten;25,9;30,1;25,9
;WK027300;Wijk 00 Putten;25,6;30,3;25,2
;WK027301;Wijk 01 Bosgebied en Krachtighuizen;29,8;28,5;34,4
GM0274;Totaal;Renkum;30,7;35,5;23
;WK027401;Renkum Zuid;26,6;37,1;20,2
;WK027402;Renkum Noord;26,5;35,1;19,1
;WK027403;Heelsum ten westen van de rijksweg;28,7;44,9;17,2
;WK027404;Heelsum ten oosten van de rijksweg;64,6;.;.
;WK027405;Wolfheze ten zuiden van het spoor;33,7;30,9;28,6
;WK027406;Wolfheze ten noorden van het spoor;34,6;30,1;27,5
;WK027407;Buitengebied Doorwerth;44,7;9,8;48
;WK027408;Bebouwde kom Doorwerth;27,7;45,1;12,7
;WK027409;Heveadorp;32,4;26,7;29,2
;WK027410;Oosterbeek West;42,3;29,6;30,1
;WK027411;Oosterbeek Zuidoost;34;29,5;30,1
;WK027412;Oosterbeek Noordoost;33,7;30,7;29
GM0275;Totaal;Rheden;26,5;42,8;17,1
;WK027500;Wijk 00 Dieren;25,8;38,5;16,4
;WK027501;Wijk 01 Rheden;25,9;38,7;17,2
;WK027502;Wijk 02 Velp;27,5;48,3;17,6
GM0277;Totaal;Rozendaal;39,7;13,6;50,1
;WK027700;Wijk 00;39,7;13,6;50,1
GM0279;Totaal;Scherpenzeel;25,1;27,8;24,1
;WK027900;Wijk 00;25,1;27,8;24,1
GM0281;Totaal;Tiel;24,9;40,4;17,5
;WK028100;Tiel kern;22,4;51,3;10,1
;WK028101;Tiel-Noord;25,9;37,6;19,4
;WK028102;Wadenoijen en Kapel Avezaath;27,9;24,4;32,2
;WK028103;Tiel-Zuid;28,3;18,4;31,4
GM0285;Totaal;Voorst;27,1;30,4;25,1
;WK028500;Wijk 00 Voorst;26,7;30,9;24,8
;WK028501;Wijk 01 Twello-Nijbroek;27;32,1;23,5
;WK028502;Wijk 02 Klarenbeek-Teuge;27,1;22,6;33,4
;WK028503;Wijk 03 Wilp;27,7;26,1;27,3
GM0289;Totaal;Wageningen;24,5;57,9;14,1
;WK028901;Noordwest;29,2;28,4;31
;WK028902;Wageningen Universiteit;7,5;98,7;0,1
;WK028903;De Weiden en Boomgaarden;28,4;34,9;21,8
;WK028904;De Horsten;24,4;39,6;17,4
;WK028905;Kortenoord;17;76,3;8,3
;WK028906;De Buurt;20,8;68,5;5,8
;WK028907;Boven- en Benedenbuurt;24,1;53,2;12,8
;WK028908;Nude;22,4;63,6;5
;WK028909;Centrum;22,8;71,8;8
;WK028910;Veluvia-Hamelakkers;33;39,5;27,6
;WK028911;Wageningen-Hoog;47,6;8;56,2
;WK028912;Buitengebied;30,7;38,2;30,8
GM0293;Totaal;Westervoort;25,3;36,1;16,5
;WK029300;Wijk 00;25,3;36,1;16,5
GM0294;Totaal;Winterswijk;23,8;38,6;16
;WK029400;Wijk 00 Stad;23,1;41,5;13
;WK029401;Wijk 01 Land;26,3;26;29
GM0296;Totaal;Wijchen;26,9;32,9;23,1
;WK029600;Wijk 00 Wijchen buitengebied;31,5;.;.
;WK029601;Wijk 01 Wijchen kern;26,7;33,9;21,9
;WK029602;Wijk 02 Balgoij;28;17,4;37,5
;WK029603;Wijk 03 Batenburg;25,8;27,4;26,3
;WK029604;Wijk 04 Bergharen;27,9;22,3;31,3
;WK029605;Wijk 05 Hernen;27,9;20,2;32
;WK029606;Wijk 06 Leur;27,3;.;.
;WK029607;Wijk 07 Niftrik;27,8;23,5;34,9
;WK029608;Wijk 08 Alverna;27,5;39,5;23,5
GM0297;Totaal;Zaltbommel;26,4;32,3;23,8
;WK029700;Wijk 00 Zaltbommel;27,5;35,3;21,4
;WK029701;Wijk 01 Brakel;24,5;31,7;23
;WK029702;Wijk 02 Kerkwijk;27,4;28,1;28,6
;WK029703;Wijk 03 Nederhemert;24,2;24,7;31,9
GM0299;Totaal;Zevenaar;25;37,6;16,3
;WK029900;Zevenaar;24,8;39;14,5
;WK029901;Babberich;25;36,2;19,1
;WK029902;Angerlo;29,4;27;24,9
;WK029903;Giesbeek;28;31,1;22,6
;WK029904;Lathum;29,2;29,4;29,4
;WK029905;Rijnstrangen;.;.;.
;WK029906;Pannerden;24,2;32,5;19,5
;WK029907;Aerdt;24,9;26,2;26,8
;WK029908;Herwen;25,4;32,9;20,9
;WK029909;Lobith;21,4;47,9;10,1
;WK029910;Tolkamer;25,5;36,1;16
;WK029911;Spijk;22;43,8;12,9
GM0301;Totaal;Zutphen;24,9;43;15,5
;WK030100;Wijk 00 Centrum - De Hoven;27,5;50,5;13,7
;WK030101;Wijk 01 Waterkwartier;20,8;58,4;7,9
;WK030102;Wijk 02 Noordveen;23,9;42;14,2
;WK030103;Wijk 03 Zuidwijken;22,9;42,7;11,7
;WK030104;Wijk 04 Leesten;27,4;20,3;27,8
;WK030105;Wijk 05 Warnsveld;27;33,5;21
GM0302;Totaal;Nunspeet;24,6;32;22,7
;WK030200;Wijk 00 Nunspeet;24,7;33,2;21,2
;WK030201;Wijk 01 Elspeet-Vierhouten;24,2;26,3;29,8
GM0303;Totaal;Dronten;25,9;34,2;21
;WK030301;Wijk 01 Dronten west;27,6;21,6;31,8
;WK030302;Wijk 02 Dronten Noord;19;47,3;10,7
;WK030303;Wijk 03 Dronten Midden;22,5;52,3;9,5
;WK030304;Wijk 04 Dronten Zuid;28,1;24,6;23,8
;WK030305;Wijk 05 Buitengebied Dronten;30,8;33,1;34
;WK030306;Wijk 06 Biddinghuizen;24,8;39,4;17,6
;WK030307;Wijk 07 Swifterbant;25,4;32,1;20,8
GM0307;Totaal;Amersfoort;29,2;35,3;24,9
;WK030701;Stadskern;34,3;51,1;15,2
;WK030702;Nederberg;34,3;59,2;13,9
;WK030703;Soesterkwartier;25,9;46,2;14,9
;WK030704;Eemkwartier;41,6;.;.
;WK030705;Isselt;21,5;.;.
;WK030706;De Koppel;25,4;48,1;14,3
;WK030707;Kruiskamp;23,2;50,6;13,8
;WK030708;Schothorst-Zuid;25,1;47;15,7
;WK030709;Schothorst-Noord;27,2;36,3;17,7
;WK030710;Liendert;21,3;49,7;8,9
;WK030711;Rustenburg;25,7;31,5;19
;WK030712;Buitengebied-Oost;31,3;27,2;42
;WK030713;Schuilenburg;23,1;44,3;11,6
;WK030714;Randenbroek;27;47,5;15,6
;WK030715;Vermeerkwartier;32,2;39,3;28,7
;WK030716;Leusderkwartier;32,1;35,5;29,2
;WK030717;De Berg-Zuid;33,1;39,1;29,9
;WK030718;De Berg-Noord;49,2;12,3;57,2
;WK030719;Hoogland;29,6;22,1;29
;WK030720;Zielhorst;28,2;28,9;27
;WK030721;Kattenbroek;30,5;28,1;29,7
;WK030722;Calveen;33;.;.
;WK030724;Nieuwland;30,2;20,3;34,5
;WK030725;De Hoef;26,3;72,4;0,9
;WK030726;Hooglanderveen;31;21,3;41,2
;WK030727;Hoogland-West;35,9;22,3;45,2
;WK030728;Vathorst-De Velden;30,7;17,7;44,4
;WK030729;Vathorst-Centrum;30,6;15,4;41
;WK030730;Vathorst-De Bron;29,8;14,5;39,3
;WK030731;Vathorst-De Laak;30,3;25,9;34,1
;WK030732;Vathorst-Bovenduist;.;.;.
;WK030733;Bedrijventerrein Vathorst;.;.;.
;WK030734;Bosgebied;38,7;39;23,3
GM0308;Totaal;Baarn;32,2;33,9;25,8
;WK030800;Wijk 00 Baarn;33;35,1;26
;WK030801;Wijk 01 Baarn-Noord, Eemdal en Eemland;27,5;35,3;21,5
;WK030802;Wijk 02 P.H.W.park;54,2;16;49,9
;WK030804;Wijk 04 Buitengebied;40,6;28;44,1
;WK030805;Wijk 05 Lage Vuursche;32,7;35,3;24,1
GM0310;Totaal;De Bilt;33,9;33,2;30,3
;WK031001;Westbroek;29,9;21,9;34,4
;WK031002;Hollandsche Rading;36,9;23,8;37,2
;WK031003;Maartensdijk;26,4;34,2;23,7
;WK031004;Groenekan;35,5;21,2;44,5
;WK031005;De Leijen;29,3;37,5;21,6
;WK031006;Bilthoven Noord;55,9;14,4;61,3
;WK031007;Bilthoven Zuid Oost;38,5;28,2;33,6
;WK031008;Bilthoven Zuid West;28,3;43,9;22
;WK031009;De Bilt West;32,6;32,6;30,1
;WK031010;De Bilt Oost;28,8;40,8;20,9
GM0312;Totaal;Bunnik;31,8;24,9;34,3
;WK031200;Wijk 00 Bunnik;32,4;26,7;35
;WK031201;Wijk 01 Odijk;31,7;23,5;32,3
;WK031202;Wijk 02 Werkhoven;30,2;23;36,9
GM0313;Totaal;Bunschoten;25,5;26,8;27
;WK031300;Wijk 00;25,5;26,8;27
GM0317;Totaal;Eemnes;30;26,6;30
;WK031702;Eemnes;30;26,6;30
GM0321;Totaal;Houten;31;26,1;33,9
;WK032110;Houten Noord-West;31,6;26,2;33,3
;WK032111;Houten Noord-Oost;28,2;39,7;21,3
;WK032112;Houten Zuid-West;31,5;19,6;38,5
;WK032113;Houten Zuid-Oost;32,7;17;45
;WK032120;Houten Buitengebied;29,9;26,9;35,7
;WK032130;'t Goy;28,7;28,4;30,3
;WK032131;'t Goy Buitengebied;28,5;.;.
;WK032140;Tull en 't Waal;32,5;16,1;37,9
;WK032141;Tull en 't Waal Buitengebied;.;.;.
;WK032150;Schalkwijk;28,6;27,6;31
;WK032151;Schalkwijk Buitengebied;33;16,1;52,4
GM0327;Totaal;Leusden;30,4;26,5;28,7
;WK032700;Wijk 00 Leusden-Centrum Oost;29,9;28;23,6
;WK032701;Wijk 01 Leusden-Centrum West;29,8;25,5;27,2
;WK032702;Wijk 02 Leusden-Zuid;33,6;18;43,5
;WK032703;Wijk 03 Achterveld;29;30,7;29,8
;WK032704;Wijk 04 Stoutenburg;30,5;21,4;40,7
;WK032705;Wijk 05 't Ruige Veld;29,7;33,2;24,8
GM0331;Totaal;Lopik;26,5;27,2;30,3
;WK033100;Wijk 00 Lopik, Benschop en Polsbroek;26,5;27,2;30,3
GM0335;Totaal;Montfoort;28,5;25,8;30,2
;WK033500;Wijk 00;27,9;28,8;26,3
;WK033501;Wijk 01 Linschoten;29,3;20,9;35,5
;WK033502;Wijk 02 Willeskop;30,6;23,4;42,2
GM0339;Totaal;Renswoude;26,7;25,1;29,5
;WK033900;Wijk 00;26,7;25,1;29,5
GM0340;Totaal;Rhenen;26,3;33,6;23,5
;WK034000;Wijk 00 Rhenen;27;51;11,6
;WK034001;Wijk 01 Rhenen Oost;29,2;27,9;29,2
;WK034002;Wijk 02 Rhenen West;24,9;36,5;17,6
;WK034003;Wijk 03 Rhenen Noord;24;44,1;15,5
;WK034004;Wijk 04 Grebbeberg;.;.;.
;WK034005;Wijk 05 Randzone;30,4;22,1;31,9
;WK034006;Wijk 06 Binnenveld;23;32,2;37,9
;WK034007;Wijk 07 Achterberg;24,5;21;33,2
;WK034008;Wijk 08 Uiterwaarden Rhenen;31,6;.;.
;WK034009;Wijk 09 Remmerden;.;.;.
;WK034010;Wijk 10 Heuvelrug Rhenen;.;.;.
;WK034011;Wijk 11 Heuvelrug Elst;.;.;.
;WK034012;Wijk 12 Uiterwaarden Elst;.;.;.
;WK034013;Wijk 13 Elst;26,2;28,4;25,6
GM0342;Totaal;Soest;30,1;32,3;26,5
;WK034201;Wijk 01 't Hart-Soestdijk;33,3;28,7;31,1
;WK034202;Wijk 02 Klaarwater;24,6;46,3;12,6
;WK034203;Wijk 03 Boerenstreek;31,3;18,5;39,4
;WK034204;Wijk 04 de Eng-Soest-Midden;29,1;40,2;23,3
;WK034205;Wijk 05 Smitsveen;23,7;43,1;15,5
;WK034206;Wijk 06 Overhees;28,9;29,3;24,8
;WK034207;Wijk 07 Soest-Zuid;36,9;18,5;42,1
;WK034208;Wijk 08 Soesterberg;28,6;32,7;24,1
GM0344;Totaal;Utrecht;29,3;47,4;20,7
;WK034401;Wijk 01 West;31,3;46,8;22,2
;WK034402;Wijk 02 Noordwest;26,7;52;14,5
;WK034403;Wijk 03 Overvecht;19,6;61,8;7,5
;WK034404;Wijk 04 Noordoost;34,5;44,7;26,2
;WK034405;Wijk 05 Oost;32,7;60,1;17,8
;WK034406;Wijk 06 Binnenstad;37,1;54,4;16
;WK034407;Wijk 07 Zuid;27,1;50,7;17,3
;WK034408;Wijk 08 Zuidwest;25,6;53;14
;WK034409;Wijk 09 Leidsche Rijn;31;25,1;35
;WK034410;Wijk 10 Vleuten-De Meern;30,8;22,8;38,5
GM0345;Totaal;Veenendaal;25;36,1;19,6
;WK034500;Centrum;25;54,8;7
;WK034501;Noordoost;24,9;30;22,9
;WK034502;Zuidoost;25,6;38,6;21,4
;WK034503;Zuidwest;23,7;44,9;16
;WK034504;Noordwest;23,1;39,5;15,6
;WK034505;West;26,5;23,5;25,5
GM0351;Totaal;Woudenberg;26,5;26,1;26,9
;WK035100;Wijk 00 Woudenberg;26,5;26,1;26,9
GM0352;Totaal;Wijk bij Duurstede;28,9;27,3;26,9
;WK035200;Wijk 00 Wijk bij Duurstede;29;27,4;25,5
;WK035201;Wijk 01 Landelijk gebied;33,2;20,9;46,9
;WK035202;Wijk 02 Cothen;27,4;27,8;28,8
;WK035203;Wijk 03 Langbroek;29,2;27,9;30,6
GM0353;Totaal;IJsselstein;29;30,6;27,8
;WK035300;Wijk 00 IJsselstein;29;30,6;27,8
GM0355;Totaal;Zeist;32,3;39,5;26,1
;WK035501;Zeist Centrum;37,2;36;28,7
;WK035502;Zeist-Noord;25,9;51,9;18,5
;WK035503;Zeist-West;27,1;37,3;23,6
;WK035504;Zeist-Oost;35,2;36,4;29,1
;WK035505;Den Dolder e.o.;41,5;27;38,1
GM0356;Totaal;Nieuwegein;27,3;35,5;18,9
;WK035601;Jutphaas Wijkersloot;24,6;48,1;11,3
;WK035602;Zuilenstein;26,5;32,5;18,1
;WK035603;Batau Zuid;25,9;29,1;21,1
;WK035604;Batau Noord;28,1;31,7;19,9
;WK035605;Doorslag;27,9;31,1;20,2
;WK035606;Huis de Geer;31,4;24,1;28,7
;WK035607;Blokhoeve;34,5;25,7;34,1
;WK035608;Galecop;29,1;31,2;26,9
;WK035610;Fokkesteeg;26,1;33,8;18
;WK035611;Hoogzandveld;25,4;26,4;19,4
;WK035612;Lekboulevard;28,1;47;15
;WK035613;Vreeswijk;28;38,3;20,9
;WK035614;Merwestein;25,7;54,4;4,1
;WK035615;Park Oudegein;.;.;.
;WK035616;Zandveld;24,3;33,7;17
;WK035618;Het Klooster;.;.;.
;WK035620;Laagraven;.;.;.
;WK035621;Plettenburg;32;.;.
;WK035622;De Wiers;.;.;.
;WK035623;Hoge Landen;.;.;.
;WK035624;Stadscentrum;29,4;50,5;6,5
;WK035625;Rijnhuizen;31,2;52,3;14,5
GM0358;Totaal;Aalsmeer;30,3;29;31,8
;WK035800;Wijk 00 Aalsmeer;30,2;33,9;26,7
;WK035801;Wijk 01 Kudelstraat en Kalslagen;29,2;26,4;30
;WK035802;Wijk 02 Oosteinde;31,6;24,2;41,1
GM0361;Totaal;Alkmaar;27,1;39,8;18,2
;WK036101;Zuid;29,1;41,6;21,9
;WK036102;Oudorp;27,4;36;22,3
;WK036103;Overdie;21,2;53,7;7,6
;WK036104;West;28;43,9;16,6
;WK036105;Huiswaard;24,2;43,7;11,6
;WK036106;De Mare;24,4;41;12
;WK036107;Daalmeer/Koedijk;25,7;35,4;19,3
;WK036108;Centrum;33,2;43,7;15,4
;WK036109;Schermer;29,2;28,6;30,3
;WK036110;Graft-De Rijp;28,5;27,3;28,3
;WK036111;Vroonermeer;30,3;21,3;35,1
GM0362;Totaal;Amstelveen;34,1;39,2;26,4
;WK036201;Randwijck;38,3;28,3;36,7
;WK036202;Patrimonium;39,5;38,1;32,2
;WK036203;Elsrijk;41;29;38,6
;WK036204;Stadshart;40,3;29,7;28,5
;WK036205;Uilenstede, Kronenburg;13;94,8;0,6
